Телевизоры,LED,LG,LG 32LN540B,,"32"", 1366x768, HDTV, 720p, LED-подсветка, 100 Гц, мощность звука 20 Вт, HDMI x3"
Телевизоры,LED,LG,LG 42LA620,747 USD,"42"", 1920x1080, HDTV, 1080p (Full HD), LED-подсветка, 200 Гц, 3D, DVR, мощность звука 20 Вт, HDMI x3, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 42LA640,851 USD,"42"", 1920x1080, HDTV, 1080p (Full HD), LED-подсветка, 200 Гц, 3D, DVR, мощность звука 20 Вт, HDMI x3, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 42LA660,890 USD,"42"", 1920x1080, HDTV, 1080p (Full HD), LED-подсветка, 400 Гц, 3D, DVR, мощность звука 24 Вт, HDMI x3, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 42LA691S,991 USD,"42"", 1920x1080, HDTV, 1080p (Full HD), LED-подсветка, 400 Гц, 3D, DVR, мощность звука 24 Вт, HDMI x3, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 42LA740,,"42"", 1920x1080, HDTV, 1080p (Full HD), TFT IPS, LED-подсветка, 800 Гц, 3D, DVR, мощность звука 24 Вт, HDMI x3, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 47LA620,"1,002 USD","47"", 1920x1080, HDTV, 1080p (Full HD), LED-подсветка, 100 Гц, 3D, DVR, мощность звука 20 Вт, HDMI x3, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 47LA640S,"1,081 USD","47"", 1920x1080, HDTV, 1080p (Full HD), LED-подсветка, 200 Гц, 3D, DVR, мощность звука 20 Вт, HDMI x3, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 47LA660,"1,195 USD","47"", 1920x1080, HDTV, 1080p (Full HD), LED-подсветка, 400 Гц, 3D, DVR, мощность звука 24 Вт, HDMI x3, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 47LA691,"1,297 USD","47"", 1920x1080, HDTV, 1080p (Full HD), LED-подсветка, 400 Гц, 3D, DVR, мощность звука 24 Вт, HDMI x3, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 47LA720,,"47"", 1920x1080, HDTV, 1080p (Full HD), TFT IPS, LED-подсветка, 800 Гц, 3D, DVR, мощность звука 24 Вт, HDMI x3, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 47LA740,,"47"", 1920x1080, HDTV, 1080p (Full HD), TFT IPS, LED-подсветка, 800 Гц, 3D, DVR, мощность звука 24 Вт, HDMI x3, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 47LM660,,"47"", 1920x1080, HDTV, 1080p (Full HD), LED-подсветка, 400 Гц, 3D, DVR, мощность звука 20 Вт, HDMI x4, VGA, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 47LM960,,"47"", 1920x1080, HDTV, 1080p (Full HD), TFT S-IPS, LED-подсветка, 1000 Гц, 3D, картинка в картинке, DVR, мощность звука 20 Вт, HDMI x4, VGA, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 55LA620,,"55"", 1920x1080, HDTV, 1080p (Full HD), LED-подсветка, 200 Гц, 3D, DVR, мощность звука 20 Вт, HDMI x3, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 55LA640,,"55"", 1920x1080, HDTV, 1080p (Full HD), LED-подсветка, 200 Гц, 3D, DVR, мощность звука 20 Вт, HDMI x3, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 55LA660,,"55"", 1920x1080, HDTV, 1080p (Full HD), LED-подсветка, 400 Гц, 3D, DVR, мощность звука 24 Вт, HDMI x3, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 55LA691,,"55"", 1920x1080, HDTV, 1080p (Full HD), LED-подсветка, 400 Гц, 3D, DVR, мощность звука 24 Вт, HDMI x3, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 55LA740,,"55"", 1920x1080, HDTV, 1080p (Full HD), TFT IPS, LED-подсветка, 800 Гц, 3D, DVR, мощность звука 24 Вт, HDMI x3, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 55LA790,,"55"", 1920x1080, HDTV, 1080p (Full HD), LED-подсветка, 800 Гц, 3D, DVR, мощность звука 24 Вт, HDMI x4, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,LG,LG 55LA860V,,"55"", 1920x1080, HDTV, 1080p (Full HD), LED-подсветка, 800 Гц, 3D, DVR, мощность звука 24 Вт, HDMI x4, Ethernet, Wi-Fi, доступ в интернет (Smart TV)"
Телевизоры,LED,PHILIPS,PHILIPS 32PFL3008,,"32"", 1366x768, HDTV, 720p, LED-подсветка, 100 Гц, DVR, мощность звука 12 Вт, HDMI x2, VGA"
Телевизоры,LED,PHILIPS,PHILIPS 32PFL3258,,"32"", 1920x1080, HDTV, 1080p (Full HD), LED-подсветка, 100 Гц, DVR, мощность звука 20 Вт, HDMI x2, Ethernet, доступ в интернет (Smart TV)"
